"Date","ZCTA5CE10","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-04-30,"72521","AR",,"Sharp","Cave City",12070,807,0.0138190954773869,0.00875,0,779
2015-04-30,"28746","NC","Forest City","Rutherford","Lake Lure",12071,1284,0.00864100549882168,0.0182394924662966,0.0473083197389886,2356
2015-04-30,"34201","FL","Sarasota","Manatee","Bradenton",12072,2792,-0.0268386197281283,-0.0535593220338983,-0.0425240054869684,2239
2015-04-30,"46538","IN","Warsaw","Kosciusko","Leesburg",12073,1183,0.015450643776824,0.040457343887423,-0.0141666666666667,2098
2015-04-30,"18041","PA","Philadelphia","Montgomery","East Greenville",12074,1390,-0.00643316654753395,-0.0211267605633803,-0.0155807365439093,1729
2015-04-30,"19543","PA","Reading","Berks","Caernarvon Township",12075,1593,-0.0220994475138122,-0.0673302107728337,0.0250965250965251,1629
2015-04-30,"77659","TX","Beaumont","Hardin","Sour Lake",12076,1417,0.00212164073550212,0.0114204139900071,0.0849923430321593,1548
2015-04-30,"83336","ID","Burley","Minidoka","Heyburn",12077,973,0.00933609958506224,0.0668859649122807,0.156956004756243,1509
2015-04-30,"35072","AL","Alexander City","Coosa","Goodwater",12078,947,0.0106723585912487,0.0182795698924731,0.0640449438202247,425
2015-04-30,"70395","LA","Houma","Terrebonne","Schriever",12079,1317,0.000759878419452888,0,-0.0685997171145686,1161
2015-04-30,"06359","CT","New London","New London","North Stonington",12080,1569,0,0.00576923076923077,0.012258064516129,1966
2015-04-30,"18947","PA","Philadelphia","Bucks","Plumstead Township",12081,2063,0.0127638684339715,-0.00338164251207729,0.0461460446247465,1982
2015-04-30,"27891","NC","Rocky Mount","Nash","Whitakers",12082,750,0.0259917920656635,0.079136690647482,-0.0683229813664596,897
2015-04-30,"60021","IL","Chicago","McHenry","Fox River Grove",12083,1658,-0.000602772754671489,0.00667880995749848,-0.0042042042042042,2015
2015-04-30,"62561","IL","Springfield","Sangamon","Riverton",12084,1051,0.0447316103379722,0.114528101802757,-0.0876736111111111,1445
2015-04-30,"98576","WA","Olympia","Thurston","Rainier",12085,1367,0.00662739322533137,0.0232035928143713,0.0379650721336371,1356
2015-04-30,"21087","MD","Baltimore","Baltimore","Kingsville",12086,2064,0.0117647058823529,0.0335503254882323,0.0377073906485671,1954
2015-04-30,"39071","MS","Jackson","Madison","Flora",12087,1133,0.0318761384335155,0.0423183072677093,0.079047619047619,1430
2015-04-30,"79766","TX","Odessa","Ector","Odessa",12088,1378,0.00364166059723234,0.0567484662576687,0.136026380873866,782
2015-04-30,"22849","VA",,"Page","Shenandoah",12089,1172,0.00600858369098712,0.0253718285214348,0.0316901408450704,1783
2015-04-30,"29069","SC","Florence","Darlington","Lamar",12090,934,-0.0053248136315229,-0.0032017075773746,-0.0603621730382294,1620
2015-04-30,"42053","KY","Paducah","Ballard","Kevil",12091,913,-0.00327510917030568,-0.00436205016357688,0.036322360953462,586
